Title;Author;Price;Url
Python. Чистый код для продолжающих;Свейгарт;1914 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-chistyy-kod-dlya-prodolzhayuschih
Этичный хакинг. Практическое руководство по взлому;Грэм;1908 р.;https://www.piter.com/collection/kompyutery-i-internet/product/etichnyy-haking-prakticheskoe-rukovodstvo-po-vzlomu
Совершенный софт;Лёве;1873 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sovershennyy-soft
Архитектура компьютера. 6-е изд.;Таненбаум Э.;1871 р.;https://www.piter.com/collection/kompyutery-i-internet/product/arhitektura-kompyutera-6-e-izd-2
Выразительный JavaScript. Современное веб-программир...;Хавербеке;1859 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vyrazitelnyy-javascript-sovremennoe-veb-programmirovanie-3-e-izdanie
Высокопроизводительный код на платформе .NET. 2-е из...;Уотсон;1825 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vysokoproizvoditelnyy-kod-na-platforme-net-2-e-izdanie
Командная строка Linux. Полное руководство. 2-е межд...;Шоттс;1816 р.;https://www.piter.com/collection/kompyutery-i-internet/product/komandnaya-stroka-linux-polnoe-rukovodstvo-2-e-mezhd-izd
Микросервисы. Паттерны разработки и рефакторинга;Ричардсон;1800 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mikroservisy-patterny-razrabotki-i-refaktoringa
Head First. Паттерны проектирования. 2-е издание;Фримен;1799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/head-first-patterny-proektirovaniya-2-e-izdanie
Паттерны разработки на Python: TDD, DDD и событийно-...;Персиваль;1799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/patterny-razrabotki-na-python-tdd-ddd-i-sobytiyno-orientirovannaya-arhitektura
Глубокое обучение с fastai и PyTorch: минимум формул...;Ховард;1775 р.;https://www.piter.com/collection/kompyutery-i-internet/product/glubokoe-obuchenie-s-fastai-i-pytorch-minimum-formul-minimum-koda-maksimum-effektivnosti
Компьютерные сети. Принципы, технологии, протоколы: ...;Олифер В.;1764 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kompyuternye-seti-printsipy-tehnologii-protokoly-yubileynoe-izdanie
Python. Экспресс-курс. 3-е изд.;Седер;1740 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-ekspress-kurs-3-e-izd
Простой Python. Современный стиль программирования. ...;Любанович;1728 р.;https://www.piter.com/collection/kompyutery-i-internet/product/prostoy-python-sovremennyy-stil-programmirovaniya-2-e-izd
Python для сложных задач: наука о данных и машинное ...;Плас вандер;1679 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-dlya-slozhnyh-zadach-nauka-o-dannyh-i-mashinnoe-obuchenie-2
Внутреннее устройство Linux. 3-е изд.;Уорд ;1674 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vnutrennee-ustroystvo-linux-3-e-izd
Хакинг: искусство эксплойта. 2-е изд.;Эриксон;1670 р.;https://www.piter.com/collection/kompyutery-i-internet/product/haking-iskusstvo-eksployta-2-e-izd
Swift. Основы разработки приложений под iOS, iPadOS ...;Усов В.;1670 р.;https://www.piter.com/collection/kompyutery-i-internet/product/swift-osnovy-razrabotki-prilozheniy-pod-ios-ipados-i-macos-6-e-izd-dopolnennoe-i-pererabotannoe
Изучаем Arduino. 65 проектов своими руками. 2-е издание;Бокселл;1668 р.;https://www.piter.com/collection/kompyutery-i-internet/product/izuchaem-arduino-65-proektov-svoimi-rukami-2-e-izdanie
Вероятностное программирование на Python: байесовски...;Дэвидсон-Пайлон ;1628 р.;https://www.piter.com/collection/kompyutery-i-internet/product/veroyatnostnoe-programmirovanie-na-python-bayesovskiy-vyvod-i-algoritmy
Кибердзюцу: кибербезопасность для современных ниндзя;Маккарти;1560 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kiberdzyutsu-kiberbezopasnost-dlya-sovremennyh-nindzya
Roblox: играй, программируй и создавай свои миры;Корягин А.;1535 р.;https://www.piter.com/collection/kompyutery-i-internet/product/roblox-igray-programmiruy-i-sozdavay-svoi-miry
